account_id,account_name,global_region,industry_vertical,contract_tier,annual_contract_value,continued_decline_probability,priority_tier,on_churn_radar_aug,flag_reason,suggested_action,triage_note
ACC_0339,BizCorp_0339,APAC,Logistics,Standard,14400,0.9949,High,Yes,API usage fell -51% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0788,BizCorp_0788,EMEA,Logistics,Premium,22320,0.9949,High,Yes,API usage fell -51% and active seats fell -60% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0583,BizCorp_0583,APAC,Logistics,Premium,28800,0.9948,High,Yes,API usage fell -55% and active seats fell -57% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0025,BizCorp_0025,EMEA,Retail,Standard,12480,0.9948,High,Yes,API usage fell -52% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0750,BizCorp_0750,EMEA,Retail,Standard,20160,0.9948,High,Yes,API usage fell -53% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0275,BizCorp_0275,EMEA,Healthcare,Standard,25920,0.9947,High,Yes,API usage fell -45% and active seats fell -67% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0126,BizCorp_0126,EMEA,Retail,Premium,30240,0.9947,High,Yes,API usage fell -54% and active seats fell -57% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0424,BizCorp_0424,APAC,Retail,Premium,30960,0.9946,High,Yes,API usage fell -55% and active seats fell -57% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0426,BizCorp_0426,EMEA,Logistics,Premium,56160,0.9945,High,Yes,API usage fell -49% and active seats fell -55% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0493,BizCorp_0493,EMEA,Retail,Standard,32640,0.9945,High,Yes,API usage fell -52% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0780,BizCorp_0780,AMER,Manufacturing,Standard,18240,0.9944,High,Yes,API usage fell -48% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0128,BizCorp_0128,AMER,Technology,Premium,41040,0.9944,High,Yes,API usage fell -55% and active seats fell -57% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0384,BizCorp_0384,EMEA,Technology,Premium,51120,0.9943,High,Yes,API usage fell -49% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0042,BizCorp_0042,APAC,Logistics,Standard,13440,0.9942,High,Yes,API usage fell -55% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0749,BizCorp_0749,APAC,Financial Services,Standard,25920,0.9941,High,Yes,API usage fell -50% and active seats fell -67% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0127,BizCorp_0127,EMEA,Retail,Premium,23040,0.9941,High,Yes,API usage fell -52% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0428,BizCorp_0428,AMER,Manufacturing,Standard,8640,0.994,High,Yes,API usage fell -53% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0963,BizCorp_0963,APAC,Retail,Premium,94320,0.994,High,Yes,API usage fell -55% and active seats fell -54% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0754,BizCorp_0754,APAC,Logistics,Standard,16320,0.9938,High,Yes,API usage fell -55% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0232,BizCorp_0232,APAC,Logistics,Premium,54720,0.9938,High,Yes,API usage fell -55% and active seats fell -55% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0849,BizCorp_0849,APAC,Logistics,Standard,13440,0.9937,High,Yes,API usage fell -53% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0799,BizCorp_0799,APAC,Technology,Premium,49680,0.9937,High,Yes,API usage fell -55% and active seats fell -56% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0516,BizCorp_0516,APAC,Retail,Premium,73440,0.9936,High,Yes,API usage fell -54% and active seats fell -53% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0341,BizCorp_0341,AMER,Logistics,Standard,11520,0.9935,High,Yes,API usage fell -53% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0343,BizCorp_0343,APAC,Logistics,Standard,17280,0.9935,High,Yes,API usage fell -54% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0034,BizCorp_0034,APAC,Technology,Standard,13440,0.9935,High,Yes,API usage fell -55% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0258,BizCorp_0258,AMER,Manufacturing,Standard,10560,0.9934,High,Yes,API usage fell -48% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0319,BizCorp_0319,APAC,Manufacturing,Enterprise,257040,0.9933,High,Yes,API usage fell -56% and active seats fell -51% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0307,BizCorp_0307,APAC,Logistics,Premium,58320,0.9933,High,Yes,API usage fell -51% and active seats fell -55% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0660,BizCorp_0660,EMEA,Logistics,Premium,22320,0.9933,High,Yes,API usage fell -49% and active seats fell -60% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0895,BizCorp_0895,AMER,Healthcare,Standard,17280,0.9932,High,Yes,API usage fell -57% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0101,BizCorp_0101,EMEA,Logistics,Premium,74160,0.9932,High,Yes,API usage fell -52% and active seats fell -54% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0159,BizCorp_0159,EMEA,Manufacturing,Premium,39600,0.9931,High,Yes,API usage fell -47% and active seats fell -55% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0794,BizCorp_0794,APAC,Manufacturing,Standard,22080,0.9931,High,Yes,API usage fell -51% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0420,BizCorp_0420,EMEA,Logistics,Premium,36000,0.993,High,Yes,API usage fell -52% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0436,BizCorp_0436,EMEA,Technology,Premium,51840,0.9929,High,Yes,API usage fell -51% and active seats fell -56% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0773,BizCorp_0773,EMEA,Healthcare,Premium,33840,0.9928,High,Yes,API usage fell -53% and active seats fell -57% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0713,BizCorp_0713,EMEA,Manufacturing,Standard,9600,0.9928,High,Yes,API usage fell -49% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0365,BizCorp_0365,EMEA,Logistics,Premium,69840,0.9927,High,Yes,API usage fell -51% and active seats fell -53% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0011,BizCorp_0011,AMER,Healthcare,Standard,18240,0.9926,High,Yes,API usage fell -55% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0867,BizCorp_0867,APAC,Financial Services,Standard,12480,0.9925,High,Yes,API usage fell -56% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0559,BizCorp_0559,APAC,Logistics,Premium,57600,0.9925,High,Yes,API usage fell -52% and active seats fell -54% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0318,BizCorp_0318,EMEA,Healthcare,Standard,14400,0.9924,High,Yes,API usage fell -48% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0197,BizCorp_0197,AMER,Retail,Standard,12480,0.9924,High,Yes,API usage fell -47% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0818,BizCorp_0818,AMER,Technology,Standard,20160,0.9924,High,Yes,API usage fell -52% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0010,BizCorp_0010,APAC,Manufacturing,Standard,15360,0.9924,High,Yes,API usage fell -50% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0595,BizCorp_0595,AMER,Financial Services,Standard,22080,0.9924,High,Yes,API usage fell -53% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0226,BizCorp_0226,EMEA,Logistics,Premium,39600,0.9924,High,Yes,API usage fell -50% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0199,BizCorp_0199,EMEA,Healthcare,Premium,61200,0.9923,High,Yes,API usage fell -45% and active seats fell -52% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0212,BizCorp_0212,EMEA,Retail,Premium,97200,0.9922,High,Yes,API usage fell -51% and active seats fell -53% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0485,BizCorp_0485,EMEA,Manufacturing,Enterprise,107460,0.9922,High,Yes,API usage fell -48% and active seats fell -52% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0320,BizCorp_0320,APAC,Logistics,Enterprise,232200,0.9922,High,Yes,API usage fell -51% and active seats fell -51% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0521,BizCorp_0521,AMER,Retail,Premium,58320,0.9921,High,Yes,API usage fell -45% and active seats fell -54% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0602,BizCorp_0602,AMER,Retail,Enterprise,111780,0.992,High,Yes,API usage fell -57% and active seats fell -51% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0314,BizCorp_0314,APAC,Retail,Premium,30240,0.992,High,Yes,API usage fell -54% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0869,BizCorp_0869,APAC,Healthcare,Standard,16320,0.9919,High,Yes,API usage fell -54% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0398,BizCorp_0398,APAC,Healthcare,Premium,21600,0.9919,High,Yes,API usage fell -51% and active seats fell -57% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0825,BizCorp_0825,APAC,Financial Services,Premium,43920,0.9918,High,Yes,API usage fell -55% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0455,BizCorp_0455,AMER,Technology,Premium,46080,0.9918,High,Yes,API usage fell -53% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0902,BizCorp_0902,AMER,Manufacturing,Enterprise,174420,0.9918,High,Yes,API usage fell -46% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0739,BizCorp_0739,APAC,Manufacturing,Standard,11520,0.9918,High,Yes,API usage fell -50% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0080,BizCorp_0080,APAC,Logistics,Enterprise,149040,0.9918,High,Yes,API usage fell -50% and active seats fell -52% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0795,BizCorp_0795,AMER,Retail,Enterprise,121500,0.9918,High,Yes,API usage fell -56% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0059,BizCorp_0059,AMER,Healthcare,Standard,16320,0.9918,High,Yes,API usage fell -44% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0858,BizCorp_0858,APAC,Financial Services,Standard,16320,0.9918,High,Yes,API usage fell -51% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0598,BizCorp_0598,APAC,Technology,Standard,16320,0.9917,High,Yes,API usage fell -43% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0171,BizCorp_0171,AMER,Financial Services,Premium,74880,0.9917,High,Yes,API usage fell -49% and active seats fell -56% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0734,BizCorp_0734,AMER,Manufacturing,Standard,13440,0.9916,High,Yes,API usage fell -50% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0357,BizCorp_0357,EMEA,Manufacturing,Enterprise,193320,0.9916,High,Yes,API usage fell -51% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0308,BizCorp_0308,APAC,Retail,Premium,33120,0.9915,High,Yes,API usage fell -51% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0616,BizCorp_0616,APAC,Technology,Standard,11520,0.9915,High,Yes,API usage fell -51% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0540,BizCorp_0540,EMEA,Retail,Enterprise,311580,0.9915,High,Yes,API usage fell -48% and active seats fell -51% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0099,BizCorp_0099,EMEA,Financial Services,Premium,30960,0.9915,High,Yes,API usage fell -52% and active seats fell -57% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0047,BizCorp_0047,APAC,Technology,Standard,14400,0.9914,High,Yes,API usage fell -51% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0139,BizCorp_0139,AMER,Manufacturing,Premium,34560,0.9914,High,Yes,API usage fell -49% and active seats fell -55% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0599,BizCorp_0599,EMEA,Logistics,Standard,13440,0.9914,High,Yes,API usage fell -49% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0600,BizCorp_0600,APAC,Financial Services,Premium,28080,0.9914,High,Yes,API usage fell -48% and active seats fell -60% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0835,BizCorp_0835,APAC,Healthcare,Standard,11520,0.9914,High,Yes,API usage fell -51% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0459,BizCorp_0459,AMER,Logistics,Enterprise,177120,0.9914,High,Yes,API usage fell -51% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0474,BizCorp_0474,APAC,Technology,Enterprise,205740,0.9914,High,Yes,API usage fell -56% and active seats fell -51% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0024,BizCorp_0024,EMEA,Technology,Enterprise,180900,0.9913,High,Yes,API usage fell -54% and active seats fell -51% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0584,BizCorp_0584,EMEA,Healthcare,Premium,60480,0.9913,High,Yes,API usage fell -51% and active seats fell -55% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0512,BizCorp_0512,APAC,Logistics,Enterprise,178740,0.9913,High,Yes,API usage fell -55% and active seats fell -51% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0566,BizCorp_0566,EMEA,Technology,Enterprise,193320,0.9913,High,Yes,API usage fell -45% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0170,BizCorp_0170,AMER,Logistics,Premium,87120,0.9912,High,Yes,API usage fell -50% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0037,BizCorp_0037,AMER,Technology,Premium,43200,0.9912,High,Yes,API usage fell -53% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0578,BizCorp_0578,AMER,Retail,Enterprise,277560,0.9912,High,Yes,API usage fell -54% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0016,BizCorp_0016,APAC,Manufacturing,Premium,47520,0.9912,High,Yes,API usage fell -44% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0587,BizCorp_0587,AMER,Technology,Enterprise,376920,0.9911,High,Yes,API usage fell -53% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0857,BizCorp_0857,AMER,Healthcare,Premium,59760,0.991,High,Yes,API usage fell -57% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0549,BizCorp_0549,APAC,Financial Services,Premium,18720,0.9909,High,Yes,API usage fell -50% and active seats fell -60% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0557,BizCorp_0557,APAC,Technology,Premium,25920,0.9909,High,Yes,API usage fell -52% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0253,BizCorp_0253,APAC,Retail,Premium,72000,0.9907,High,Yes,API usage fell -50% and active seats fell -53% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0400,BizCorp_0400,AMER,Manufacturing,Premium,21600,0.9907,High,Yes,API usage fell -48% and active seats fell -57% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0775,BizCorp_0775,AMER,Logistics,Premium,41760,0.9907,High,Yes,API usage fell -44% and active seats fell -56% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0957,BizCorp_0957,EMEA,Logistics,Premium,62640,0.9907,High,Yes,API usage fell -44% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0718,BizCorp_0718,EMEA,Technology,Enterprise,75600,0.9906,High,Yes,API usage fell -52% and active seats fell -50% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0737,BizCorp_0737,AMER,Healthcare,Enterprise,129600,0.9905,High,Yes,API usage fell -57% and active seats fell -51% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
